Time,Latitude,Longitude
20200501-000000,83.90706,17.578559
20200501-001000,83.906972,17.579326
20200501-002000,83.906884,17.580087
20200501-003000,83.906796,17.580847
20200501-004000,83.906709,17.581583
20200501-005000,83.906622,17.582318
20200501-010000,83.906535,17.583053
20200501-011000,83.906458,17.583793
20200501-012000,83.906382,17.584534
20200501-013000,83.906305,17.585275
20200501-014000,83.906237,17.585988
20200501-015000,83.906168,17.586701
20200501-020000,83.906099,17.587413
20200501-021000,83.906083,17.588167
20200501-022000,83.906068,17.588923
20200501-023000,83.906052,17.589681
20200501-024000,83.906039,17.590598
20200501-025000,83.906025,17.591519
20200501-030000,83.906012,17.59244
20200501-031000,83.906007,17.593364
20200501-032000,83.906002,17.594289
20200501-033000,83.905996,17.595213
20200501-034000,83.905992,17.596169
20200501-035000,83.905988,17.597125
20200501-040000,83.905984,17.598082
20200501-041000,83.90603,17.599264
20200501-042000,83.906078,17.60045
20200501-043000,83.906125,17.601636
20200501-044000,83.906171,17.602819
20200501-045000,83.906217,17.604003
20200501-050000,83.906263,17.605187
20200501-051000,83.906306,17.606463
20200501-052000,83.906349,17.60774
20200501-053000,83.906392,17.609018
20200501-054000,83.90645,17.610364
20200501-055000,83.906508,17.611713
20200501-060000,83.906566,17.613063
20200501-061000,83.906686,17.614518
20200501-062000,83.906807,17.615975
20200501-063000,83.906928,17.617432
20200501-064000,83.907052,17.61894
20200501-065000,83.907177,17.620449
20200501-070000,83.907301,17.621958
20200501-071000,83.907426,17.623549
20200501-072000,83.907551,17.625141
20200501-073000,83.907676,17.626734
20200501-074000,83.9078,17.628305
20200501-075000,83.907924,17.629875
20200501-080000,83.908048,17.631446
20200501-081000,83.90815,17.632566
20200501-082000,83.908252,17.633679
20200501-083000,83.908354,17.634794
20200501-084000,83.908469,17.63575
20200501-085000,83.908585,17.636702
20200501-090000,83.908701,17.637654
20200501-091000,83.908833,17.638459
20200501-092000,83.908966,17.63926
20200501-093000,83.909099,17.640062
20200501-094000,83.909251,17.640632
20200501-095000,83.909403,17.6412
20200501-100000,83.909555,17.641771
20200501-101000,83.909634,17.64142
20200501-102000,83.909712,17.641056
20200501-103000,83.90979,17.640701
20200501-104000,83.90988,17.640129
20200501-105000,83.90997,17.639552
20200501-110000,83.910061,17.638978
20200501-111000,83.910179,17.637989
20200501-112000,83.910298,17.636991
20200501-113000,83.910417,17.635996
20200501-114000,83.910558,17.634736
20200501-115000,83.9107,17.633477
20200501-120000,83.910842,17.632227
20200501-121000,83.91094,17.630159
20200501-122000,83.911037,17.628077
20200501-123000,83.911133,17.625996
20200501-124000,83.911242,17.623774
20200501-125000,83.911351,17.621548
20200501-130000,83.91146,17.619324
20200501-131000,83.911565,17.616948
20200501-132000,83.911671,17.614569
20200501-133000,83.911776,17.612191
20200501-134000,83.911914,17.6096
20200501-135000,83.912052,17.607005
20200501-140000,83.912191,17.604413
20200501-141000,83.912318,17.601606
20200501-142000,83.912446,17.598797
20200501-143000,83.912574,17.595989
20200501-144000,83.912688,17.593285
20200501-145000,83.912802,17.590585
20200501-150000,83.912915,17.587886
20200501-151000,83.912991,17.585456
20200501-152000,83.913065,17.583034
20200501-153000,83.913139,17.580612
20200501-154000,83.913194,17.578394
20200501-155000,83.913248,17.576184
20200501-160000,83.913303,17.573978
20200501-161000,83.913332,17.572861
20200501-162000,83.913361,17.571769
20200501-163000,83.913391,17.570679
20200501-164000,83.91339,17.569766
20200501-165000,83.913388,17.568859
20200501-170000,83.913386,17.567951
20200501-171000,83.913346,17.567223
20200501-172000,83.913304,17.5665
20200501-173000,83.913263,17.565776
20200501-174000,83.913191,17.565267
20200501-175000,83.913119,17.564765
20200501-180000,83.913047,17.564264
20200501-181000,83.912906,17.564123
20200501-182000,83.912763,17.563991
20200501-183000,83.91262,17.563859
20200501-184000,83.912467,17.563699
20200501-185000,83.912313,17.563539
20200501-190000,83.912159,17.563379
20200501-191000,83.912007,17.563137
20200501-192000,83.911854,17.562894
20200501-193000,83.911702,17.56265
20200501-194000,83.911553,17.562321
20200501-195000,83.911404,17.561991
20200501-200000,83.911256,17.561662
20200501-201000,83.911077,17.561028
20200501-202000,83.910898,17.560389
20200501-203000,83.910719,17.559749
20200501-204000,83.91055,17.559007
20200501-205000,83.910381,17.558262
20200501-210000,83.910212,17.557517
20200501-211000,83.910047,17.5568
20200501-212000,83.909882,17.556084
20200501-213000,83.909716,17.555369
20200501-214000,83.90957,17.554635
20200501-215000,83.909424,17.5539
20200501-220000,83.909279,17.553166
20200501-221000,83.909155,17.552082
20200501-222000,83.909031,17.550991
20200501-223000,83.908908,17.549901
20200501-224000,83.908796,17.548665
20200501-225000,83.908685,17.547425
20200501-230000,83.908573,17.546186
20200501-231000,83.908476,17.544904
20200501-232000,83.90838,17.543621
20200501-233000,83.908283,17.542338
20200501-234000,83.90819,17.54102
20200501-235000,83.908096,17.5397
20200502-000000,83.908003,17.538381
20200502-001000,83.907918,17.537023
20200502-002000,83.907833,17.535664
20200502-003000,83.907748,17.534304
20200502-004000,83.90767,17.532861
20200502-005000,83.907591,17.531416
20200502-010000,83.907513,17.529972
20200502-011000,83.907444,17.528614
20200502-012000,83.907375,17.527259
20200502-013000,83.907306,17.525905
20200502-014000,83.907226,17.524635
20200502-015000,83.907146,17.523367
20200502-020000,83.907066,17.522101
20200502-021000,83.90696,17.521056
20200502-022000,83.906854,17.520016
20200502-023000,83.906747,17.518977
20200502-024000,83.906632,17.517901
20200502-025000,83.906517,17.516825
20200502-030000,83.906403,17.515749
20200502-031000,83.906266,17.514681
20200502-032000,83.906129,17.513614
20200502-033000,83.905992,17.512548
20200502-034000,83.905834,17.511646
20200502-035000,83.905675,17.510749
20200502-040000,83.905517,17.509851
20200502-041000,83.905316,17.509477
20200502-042000,83.905115,17.509116
20200502-043000,83.904914,17.508755
20200502-044000,83.904694,17.508519
20200502-045000,83.904474,17.508286
20200502-050000,83.904254,17.508054
20200502-051000,83.904014,17.507968
20200502-052000,83.903774,17.507886
20200502-053000,83.903534,17.507804
20200502-054000,83.903278,17.507849
20200502-055000,83.903022,17.507897
20200502-060000,83.902766,17.507947
20200502-061000,83.902512,17.508349
20200502-062000,83.902258,17.508759
20200502-063000,83.902003,17.509169
20200502-064000,83.901744,17.509634
20200502-065000,83.901485,17.510101
20200502-070000,83.901226,17.510567
20200502-071000,83.900958,17.511086
20200502-072000,83.900689,17.511607
20200502-073000,83.900421,17.512128
20200502-074000,83.900152,17.512639
20200502-075000,83.899883,17.513149
20200502-080000,83.899615,17.51366
20200502-081000,83.899339,17.51415
20200502-082000,83.899062,17.514639
20200502-083000,83.898786,17.515128
20200502-084000,83.898512,17.515626
20200502-085000,83.898237,17.516124
20200502-090000,83.897963,17.516622
20200502-091000,83.897694,17.517063
20200502-092000,83.897425,17.517502
20200502-093000,83.897156,17.517942
20200502-094000,83.896891,17.518345
20200502-095000,83.896627,17.518748
20200502-100000,83.896363,17.519151
20200502-101000,83.896103,17.519413
20200502-102000,83.895844,17.519672
20200502-103000,83.895585,17.519931
20200502-104000,83.895334,17.520156
20200502-105000,83.895083,17.520381
20200502-110000,83.894833,17.520605
20200502-111000,83.894586,17.520812
20200502-112000,83.89434,17.521018
20200502-113000,83.894093,17.521224
20200502-114000,83.89385,17.521392
20200502-115000,83.893607,17.521559
20200502-120000,83.893365,17.521726
20200502-121000,83.89312,17.521753
20200502-122000,83.892875,17.521777
20200502-123000,83.892631,17.521801
